"Folketal den 1. i kvartalet efter køn, område og tid"

" "," ","2018K3"
"I alt"
" ","Region Hovedstaden",1825952
" ","København",616098
" ","Frederiksberg",103914
" ","Dragør",14201
" ","Tårnby",43005
" ","Albertslund",27753
" ","Ballerup",48403
" ","Brøndby",35511
" ","Gentofte",75130
" ","Gladsaxe",69261
" ","Glostrup",22557
" ","Herlev",28648
" ","Hvidovre",53480
" ","Høje-Taastrup",50676
" ","Ishøj",23011
" ","Lyngby-Taarbæk",55461
" ","Rødovre",39590
" ","Vallensbæk",16532
" ","Allerød",25427
" ","Egedal",43129
" ","Fredensborg",40812
" ","Frederikssund",45272
" ","Furesø",40961
" ","Gribskov",41299
" ","Halsnæs",31338
" ","Helsingør",62663
" ","Hillerød",50835
" ","Hørsholm",25068
" ","Rudersdal",56134
" ","Bornholm",39697
" ","Christiansø",86
" ","Region Sjælland",836379
" ","Greve",50077
" ","Køge",60565
" ","Lejre",27699
" ","Roskilde",87462
" ","Solrød",22780
" ","Faxe",36327
" ","Guldborgsund",61092
" ","Holbæk",71243
" ","Kalundborg",48854
" ","Lolland",41860
" ","Næstved",83078
" ","Odsherred",33161
" ","Ringsted",34564
" ","Slagelse",79010
" ","Sorø",29763
" ","Stevns",22899
" ","Vordingborg",45945
" ","Region Syddanmark",1222370
" ","Assens",41474
" ","Faaborg-Midtfyn",51698
" ","Kerteminde",23854
" ","Langeland",12609
" ","Middelfart",38363
" ","Nordfyns",29624
" ","Nyborg",32032
" ","Odense",202663
" ","Svendborg",58707
" ","Ærø",6110
" ","Billund",26618
" ","Esbjerg",116061
" ","Fanø",3414
" ","Fredericia",51460
" ","Haderslev",55927
" ","Kolding",92647
" ","Sønderborg",74773
" ","Tønder",37702
" ","Varde",50214
" ","Vejen",42901
" ","Vejle",114464
" ","Aabenraa",59055
" ","Region Midtjylland",1316368
" ","Favrskov",48406
" ","Hedensted",46667
" ","Horsens",89927
" ","Norddjurs",37906
" ","Odder",22639
" ","Randers",98071
" ","Samsø",3705
" ","Silkeborg",92513
" ","Skanderborg",61548
" ","Syddjurs",42636
" ","Aarhus",341497
" ","Herning",88839
" ","Holstebro",58546
" ","Ikast-Brande",41458
" ","Lemvig",20131
" ","Ringkøbing-Skjern",57099
" ","Skive",46413
" ","Struer",21306
" ","Viborg",97061
" ","Region Nordjylland",588888
" ","Brønderslev",36357
" ","Frederikshavn",60197
" ","Hjørring",65058
" ","Jammerbugt",38591
" ","Læsø",1809
" ","Mariagerfjord",42177
" ","Morsø",20503
" ","Rebild",29935
" ","Thisted",43758
" ","Vesthimmerlands",37232
" ","Aalborg",213271

